college_id,admission_id,gpa,sat,act,matric,university_id,hook_athlete,hook_first_gen,hook_legacy
143,10267,10.88,1580,,Harvard University,166027,FALSE,FALSE,FALSE
144,10213,10.86,,33,Brown University,217156,TRUE,FALSE,FALSE
145,10034,10.85,1550,,Harvard University,166027,FALSE,FALSE,TRUE
146,10260,10.83,1530,35,Harvard University,166027,FALSE,FALSE,TRUE
147,10820,10.83,1520,,University of Chicago,144050,FALSE,FALSE,FALSE
148,10814,10.79,1470,36,Georgetown University,131496,FALSE,FALSE,FALSE
149,10272,10.78,1500,,Williams College,168342,TRUE,FALSE,FALSE
150,10772,10.78,1560,,Cornell University,190415,FALSE,FALSE,FALSE
151,10168,10.75,,34,Harvard University,166027,FALSE,FALSE,TRUE
152,10445,10.75,,32,Syracuse University,196413,FALSE,FALSE,FALSE
153,10646,10.71,1570,,Harvard University,166027,TRUE,FALSE,FALSE
154,10490,10.68,1590,36,Dartmouth College,182670,TRUE,FALSE,FALSE
155,10079,10.64,1420,29,Dartmouth College,182670,FALSE,FALSE,FALSE
156,10262,10.64,1440,,Brown University,217156,FALSE,FALSE,FALSE
157,10360,10.64,1560,,Berklee College of Music,164748,FALSE,FALSE,FALSE
158,10351,10.62,1520,35,,,,,
159,10764,10.59,1400,,Georgetown University,131496,TRUE,FALSE,FALSE
160,10541,10.55,1400,,Bowdoin College,161004,FALSE,FALSE,FALSE
161,10036,10.52,1550,,Bowdoin College,161004,FALSE,FALSE,TRUE
162,10176,10.52,,35,Harvard University,166027,FALSE,FALSE,FALSE
163,10387,10.52,,35,Williams College,168342,FALSE,FALSE,FALSE
164,10710,10.5,,34,Princeton University,186131,TRUE,FALSE,FALSE
165,10167,10.47,1400,,Boston University,164988,FALSE,FALSE,FALSE
166,10708,10.47,,33,University of Chicago,144050,FALSE,FALSE,FALSE
167,10443,10.45,1550,35,University of Michigan-Ann Arbor,170976,FALSE,FALSE,FALSE
168,10449,10.45,,35,Stanford University,243744,FALSE,FALSE,TRUE
169,10121,10.42,1490,,Massachusetts Institute of Technology,166683,FALSE,FALSE,FALSE
170,10087,10.41,,31,New York University,193900,FALSE,FALSE,FALSE
171,17479,10.41,1350,,University of Virginia-Main Campus,234076,FALSE,FALSE,FALSE
172,10361,10.4,1580,35,Georgetown University,131496,FALSE,FALSE,FALSE
173,10318,10.38,1430,,College of the Holy Cross,166124,FALSE,FALSE,FALSE
174,10124,10.37,1550,35,University of Michigan-Ann Arbor,170976,FALSE,FALSE,FALSE
175,10451,10.37,,34,Loyola University Chicago,146719,FALSE,FALSE,FALSE
176,10767,10.36,,33,Vanderbilt University,221999,FALSE,FALSE,FALSE
177,10088,10.35,,34,University of California-Los Angeles,110662,TRUE,FALSE,FALSE
178,234704,10.35,1210,31,Harvard University,166027,TRUE,FALSE,FALSE
179,10311,10.34,1250,,Washington University in St Louis,179867,TRUE,FALSE,FALSE
180,10494,10.3,1310,,Duke University,198419,FALSE,FALSE,FALSE
181,10543,10.29,1410,,Princeton University,186131,TRUE,FALSE,FALSE
182,10396,10.28,,26,Carleton College,173258,FALSE,FALSE,FALSE
183,10392,10.27,,34,University of Chicago,144050,FALSE,FALSE,FALSE
184,237311,10.27,1590,,Skidmore College,195526,FALSE,FALSE,FALSE
185,10175,10.25,,33,Middlebury College,230959,FALSE,FALSE,FALSE
186,10178,10.25,,34,Georgetown University,131496,FALSE,FALSE,FALSE
187,10553,10.25,,32,Duke University,198419,FALSE,FALSE,FALSE
188,10718,10.25,,34,Tufts University,168148,FALSE,TRUE,FALSE
189,10818,10.21,,31,Princeton University,186131,FALSE,FALSE,TRUE
190,10760,10.2,1560,,Boston College,164924,FALSE,FALSE,FALSE
191,10660,10.19,1480,,Colby College,161086,FALSE,FALSE,FALSE
192,10707,10.19,1440,,Harvard University,166027,FALSE,FALSE,TRUE
193,10030,10.18,1240,,Cornell University,190415,FALSE,FALSE,FALSE
194,10444,10.18,,33,Tufts University,168148,FALSE,FALSE,FALSE
195,10706,10.17,1490,34,Skidmore College,195526,FALSE,FALSE,FALSE
196,10544,10.15,1560,,University of Chicago,144050,FALSE,TRUE,FALSE
197,10120,10.13,1500,,Hamilton College,191515,FALSE,FALSE,FALSE
