admission_id,grad_year,gender,ethnicity,entry_grade,FA_status,incoming_testing,incoming_gpa,boarding,faculty_child,legacy_child,sending_ms_id
10351,2021,M,European American (Caucasian),7,0,5,10.67,FALSE,FALSE,FALSE,203
10036,2021,F,Asian American,7,0,5,10.37,FALSE,FALSE,FALSE,203
10114,2020,F,European American (Caucasian),7,0,5,10.44,FALSE,FALSE,FALSE,203
10698,2020,M,Latino/Hispanic American,9,0,5,9.87,FALSE,FALSE,FALSE,301
26405,2020,M,European American (Caucasian),9,0,5,10.03,FALSE,FALSE,FALSE,91
10426,2020,F,European American (Caucasian),9,0,5,10.47,FALSE,FALSE,TRUE,62
10389,2020,M,European American (Caucasian),10,0,5,9.4,FALSE,FALSE,FALSE,302
23722,2020,M,European American (Caucasian),7,0,5,10.29,FALSE,FALSE,FALSE,203
10181,2020,F,European American (Caucasian),9,0,5,10.32,FALSE,FALSE,FALSE,258
10766,2020,M,European American (Caucasian),10,0,5,10.44,FALSE,FALSE,FALSE,302
10290,2020,F,Multiracial American,7,0,5,10.84,FALSE,FALSE,FALSE,203
10044,2020,M,European American (Caucasian),9,0,5,10.36,FALSE,FALSE,FALSE,302
10209,2020,F,Asian American,7,1,5,10.53,FALSE,FALSE,FALSE,203
10807,2020,F,European American (Caucasian),9,1,5,10.26,FALSE,FALSE,FALSE,258
16591,2020,F,Multiracial American,11,1,5,10.82,TRUE,FALSE,FALSE,264
10530,2020,M,European American (Caucasian),9,0,5,10.37,FALSE,FALSE,FALSE,233
10693,2020,M,European American (Caucasian),9,0,5,10.01,FALSE,FALSE,FALSE,107
10768,2020,F,Asian American,10,0,5,10.44,FALSE,FALSE,FALSE,119
10111,2020,M,European American (Caucasian),7,0,5,9.58,FALSE,FALSE,FALSE,203
10805,2020,M,European American (Caucasian),9,0,5,10.44,FALSE,FALSE,FALSE,301
10533,2020,M,European American (Caucasian),9,0,5,10.03,FALSE,FALSE,FALSE,302
17930,2020,F,European American (Caucasian),9,0,5,8.63,FALSE,FALSE,FALSE,202
10182,2020,F,Asian American,9,0,5,10.47,FALSE,FALSE,FALSE,329
10115,2020,F,European American (Caucasian),7,0,5,10.61,FALSE,FALSE,FALSE,203
10292,2020,F,European American (Caucasian),7,0,5,10.29,FALSE,FALSE,FALSE,203
10424,2020,F,Multiracial American,9,0,5,10.53,FALSE,FALSE,FALSE,330
10092,2020,M,Asian American,9,0,5,9.58,FALSE,FALSE,FALSE,8
10159,2020,F,European American (Caucasian),7,0,5,9.85,FALSE,FALSE,FALSE,203
10061,2020,F,European American (Caucasian),7,0,5,10.61,FALSE,FALSE,FALSE,203
18875,2020,M,African American,9,2,5,10.15,TRUE,FALSE,FALSE,223
10027,2020,M,European American (Caucasian),7,0,5,10.26,FALSE,FALSE,FALSE,203
10536,2020,M,Multiracial American,9,0,5,9.85,FALSE,FALSE,FALSE,307
21716,2020,M,European American (Caucasian),7,0,5,9.36,FALSE,FALSE,FALSE,203
10749,2020,M,Asian American,9,0,5,9.36,FALSE,FALSE,FALSE,305
10073,2020,M,Asian American,7,0,5,9.85,FALSE,FALSE,FALSE,203
10481,2020,F,European American (Caucasian),9,0,5,9.85,FALSE,FALSE,TRUE,185
10671,2020,M,Multiracial American,10,0,5,8.59,FALSE,FALSE,FALSE,339
10070,2020,M,European American (Caucasian),7,0,5,9.05,FALSE,FALSE,FALSE,203
10482,2020,F,European American (Caucasian),9,0,5,10.36,FALSE,FALSE,FALSE,80
10337,2020,M,European American (Caucasian),7,0,5,10.4,FALSE,FALSE,FALSE,203
10316,2020,M,European American (Caucasian),9,0,5,10.53,FALSE,FALSE,FALSE,67
17417,2020,M,European American (Caucasian),11,0,5,9.83,FALSE,FALSE,FALSE,48
10527,2020,M,European American (Caucasian),9,1,5,10.21,FALSE,FALSE,FALSE,261
10065,2020,F,European American (Caucasian),7,0,5,8.59,FALSE,FALSE,FALSE,203
10208,2020,M,Asian American,7,0,5,9.78,FALSE,FALSE,FALSE,203
10248,2020,M,European American (Caucasian),7,0,5,10.82,FALSE,FALSE,FALSE,203
10210,2019,M,Multiracial American,9,0,5,9.89,FALSE,FALSE,FALSE,258
21719,2019,M,African American,9,0,5,10.36,FALSE,FALSE,FALSE,42
10179,2019,F,European American (Caucasian),9,0,5,10.4,FALSE,FALSE,FALSE,313
10219,2019,F,European American (Caucasian),9,0,5,10.53,FALSE,FALSE,FALSE,89
10365,2019,M,European American (Caucasian),9,0,5,9.83,FALSE,FALSE,FALSE,80
10009,2019,M,European American (Caucasian),7,0,5,10.21,FALSE,FALSE,TRUE,203
10215,2019,M,European American (Caucasian),9,0,5,9.25,FALSE,FALSE,FALSE,22
10266,2019,F,European American (Caucasian),9,0,5,9.59,FALSE,FALSE,FALSE,76
10104,2019,M,European American (Caucasian),7,0,5,9.84,FALSE,FALSE,TRUE,203
10041,2019,M,European American (Caucasian),9,0,5,8.89,FALSE,FALSE,FALSE,301
10192,2019,M,European American (Caucasian),7,0,5,9.78,FALSE,FALSE,FALSE,203
10268,2019,M,Multiracial American,9,0,5,9.89,FALSE,FALSE,FALSE,80
10083,2019,M,European American (Caucasian),9,0,5,10.44,FALSE,FALSE,FALSE,334
10148,2019,F,European American (Caucasian),7,0,5,10.54,FALSE,FALSE,FALSE,203
10265,2019,M,European American (Caucasian),9,0,5,10.85,FALSE,FALSE,FALSE,107
